c_1_11_728	3	[-131.59528, -256.66324, -62.19184, -53.466522, -77.39712]
c_1_11_731	0	[-227.92575, -296.03247, -253.63861, -593.3032, -912.82184]
c_1_11_732	1	[-362.46365, -324.67352, -442.5951, -1174.931, -1812.47]
c_1_11_735	0	[-209.2085, -275.37802, -229.7446, -537.92365, -840.33936]
c_1_11_737	0	[-197.60458, -269.714, -199.10498, -487.70953, -751.0268]
c_1_11_739	0	[-352.3842, -363.01297, -478.11475, -1169.936, -1779.8544]
c_1_11_744	2	[-204.33284, -275.6012, -180.3914, -405.95816, -635.91425]
c_1_11_746	2	[-144.76895, -258.43427, -102.5263, -187.05898, -302.98663]
c_1_11_756	1	[-342.66617, -341.73633, -504.72403, -1286.7347, -1955.8928]
c_1_11_76	0	[-190.52899, -275.32452, -204.34943, -458.07858, -702.62805]
c_1_11_765	0	[-257.94662, -313.39966, -320.86127, -751.86914, -1153.8911]
c_1_11_766	0	[-323.89554, -355.12454, -411.81622, -998.90936, -1519.2004]
c_1_11_768	0	[-273.37152, -312.11148, -355.61145, -846.93835, -1268.936]
c_1_11_769	2	[-140.02917, -255.94127, -87.99809, -135.18236, -208.42]
c_1_11_77	0	[-238.43794, -294.20886, -300.56024, -709.2093, -1087.8737]
c_1_11_770	0	[-274.14267, -286.9533, -285.8982, -736.0521, -1142.0725]
c_1_11_776	2	[-137.41487, -257.80554, -73.01771, -93.15978, -141.87431]
c_1_11_779	2	[-144.19849, -255.51083, -100.36948, -174.191, -263.52005]
c_1_11_782	2	[-161.36671, -261.83392, -137.29875, -278.77432, -435.13]
c_1_11_784	1	[-378.61566, -318.453, -516.7491, -1395.6097, -2158.8396]
c_1_11_786	1	[-445.95587, -419.39172, -608.8855, -1534.0303, -2326.7363]
c_1_11_788	2	[-150.08122, -267.7755, -89.66171, -133.76842, -210.60945]
c_1_11_794	2	[-224.93489, -284.77045, -216.55507, -511.5313, -802.1898]
c_1_11_795	2	[-195.40654, -266.89172, -185.9915, -425.31522, -658.352]
c_1_11_799	2	[-274.50342, -299.11707, -272.41214, -685.65375, -1067.5311]
c_1_11_8	0	[-261.70148, -292.58038, -313.84995, -794.4695, -1216.1439]
c_1_11_801	2	[-216.9887, -296.7369, -209.92554, -463.97324, -720.2582]
c_1_11_804	3	[-130.10416, -259.46857, -61.292213, -42.810883, -67.49844]
c_1_11_805	0	[-327.14594, -328.8458, -495.30075, -1230.3676, -1861.7432]
c_1_11_812	2	[-184.41138, -262.04114, -154.89351, -348.84842, -552.40967]
c_1_11_813	2	[-152.35832, -260.04434, -122.539375, -230.22217, -350.28152]
c_1_11_817	0	[-211.66931, -289.6397, -226.71011, -507.3607, -766.25195]
c_1_11_820	2	[-136.00748, -259.39093, -74.742966, -88.023636, -140.48093]
c_1_11_822	1	[-376.43076, -345.9288, -410.56476, -999.68164, -1500.4049]
c_1_11_823	1	[-717.7191, -500.99756, -927.9582, -2378.6528, -3594.6914]
c_1_11_829	1	[-585.9787, -488.14008, -895.0076, -2240.5408, -3377.0308]
c_1_11_837	1	[-511.3316, -395.4056, -746.6587, -1985.1149, -3054.275]
c_1_11_84	2	[-149.2882, -267.25217, -91.67312, -131.05403, -224.75304]
